objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age
3.1251,MASCARA-4 b,MASCARA-4,2.8240932,0.0474,0.0,16.98160576,532.36258173,0.481,2250.0,4913.69,7800.0,1.08743,1.75,1.79,0.0,4.1,0.8
3.1303,BD+60 1417 b,BD+60 1417,,1662.0,,14.68376472,4767.426105,8.27,1303.0,,4993.0,0.35595,1.0,0.797,,4.5539,0.1
3.2786,Kepler-1846 b,Kepler-1846,14.82009983,0.11054,0.0,1.76378826,3.76,3.77,552.0,24.5,4825.0,-0.53047,0.785,0.732,0.08,4.603,14.0
3.11347,HD 82943 b,HD 82943,441.47,1.18306,0.162,13.5,534.25,1.19,,,5935.0,0.19405,1.08,1.1826,0.26,4.32582,2.35
3.18371,HD 153557 d,HD 153557,40654.64809,21.449,0.152,11.9,8725.66108578,28.5,,,4837.0,-0.56249,0.79,0.745171,,4.59118,
3.12396,EPIC 248847494 b,EPIC 248847494,3650.0,4.5,0.0,12.44199,4131.79,,183.0,0.19,4898.0,0.54805,0.9,2.7,-0.23,3.52,
3.4073,Kepler-1573 b,Kepler-1573,2.6157554,0.0364,0.0,1.2,1.87,5.95,1379.0,1343.114,5808.0,0.16867,1.01,1.0,0.02,4.44,4.07
3.11328,HD 70642 b,HD 70642,2124.54,3.318,0.175,13.0,1239.5307873,3.1,,,5732.0,0.01204,1.078,0.984,0.22,4.458,0.919
3.11423,PSR B1620-26 b,PSR B1620-26,,23.0,,13.3,794.575,1.86,,,,,1.35,,,,
3.11953,HD 147873 b,HD 147873,116.596,0.522,0.207,12.8,1633.6462,4.28,,,5972.0,0.77743,1.38,2.29,0.03,3.86,4.0
3.15445,TOI-2719 b,TOI-2719,3.37594,,,5.98,29.9,0.768,1710.0,874.29,5762.0,0.43619,1.02,1.69,0.27,4.22,
3.677,Kepler-175 b,Kepler-175,11.903515,0.105,0.0,2.56,7.08,2.32,827.0,129.639,6064.0,0.19402,0.969,1.01,0.04,4.472,3.39
3.11008,HAT-P-24 b,HAT-P-24,3.35524,0.04651,0.07,14.5717,238.3725,0.44,1637.0,1294.929,6373.0,0.408,1.37,1.38,-0.16,4.27,2.8
3.48,KOI-94 e,KOI-94,54.32031,0.3046,0.019,6.56,35.0,0.6,584.0,29.7,6182.0,0.479,1.277,1.52,0.0228,4.181,3.16
3.1698,NGTS-24 b,NGTS-24,3.4678796,0.0479,0.0,13.60770257,165.27077164,0.36,1499.0,391.83,5820.0,0.44592,1.26,1.64,0.27,4.09,4.77
3.12329,Qatar-8 b,Qatar-8,3.71495,0.0474,0.0,14.403565,117.91493,0.216,1457.0,698.148,5738.0,0.22789,1.029,1.315,0.025,4.214,8.3
3.1303,Kepler-288 c,Kepler-288,19.305772,0.14,0.0,2.85,8.5,2.02,815.0,53.148,5918.0,0.05605,0.842,1.091,-0.24,4.353,12.3
3.11487,alf Ari b,alf Ari,380.8,1.2,0.25,13.4,572.07,1.31,,,4553.0,1.934,1.5,13.9,-0.09,2.33,
3.2358,Kepler-375 c,Kepler-375,19.986326,0.141,0.0,2.65,7.51,2.22,720.0,33.152,5826.0,-0.16278,0.891,0.837,-0.04,4.567,0.4
3.18303,LP 890-9 c,LP 890-9,8.457463,0.03984,,1.367,25.3,,272.0,0.906,2850.0,-2.84134,0.118,0.1556,-0.028,5.126,7.2
3.13051,b Cen AB b,b Cen A,1790000.0,556.0,0.4,12.4,3464.3296363,9.98,,,,,5.5,,,,0.015
3.20282,GJ 3998 d,GJ 3998,41.78,0.189,0.0,2.34,6.07,2.6,,1.2,3726.0,-1.358,0.52,0.5,-0.13,4.75,8.38
3.12828,HD 39194 c,HD 39194,14.03,0.103,0.154,2.39,6.3,2.54,,,5205.0,-0.40894,0.67,0.783742,-0.61,4.53,10.0
3.12441,GJ 160.2 b,GJ 160.2,5.2354,0.053,0.06,3.17,10.2,1.76,,,4347.0,-0.79588,0.69,0.655173,,4.61312,
3.1304,HIP 5763 b,HIP 5763,30.014,0.17,0.054,14.2,162.09248757,0.311,,,4352.0,-0.73999,0.72,0.750378,,4.52002,
3.2156,Kepler-1044 b,Kepler-1044,6.77408868,0.0741,0.0,2.67,7.61,2.2,1058.0,218.497,5985.0,0.03099,1.08,1.11,0.04,4.38,3.55
3.2774,Kepler-1258 b,Kepler-1258,0.984940167,0.01824,0.0,0.86,0.566,4.89,2335.0,2775.0,5839.0,0.09384,0.99,0.99,-0.07,4.45,3.89
3.9209,K2-189 c,K2-189,6.67932,0.068,,2.31,5.95,2.65,877.0,140.0,5442.0,-0.21855,0.85,0.879,-0.1,4.51,
3.18385,HD 205158 b,HD 205158,25.33798,0.177,0.145,13.9,124.58873554,0.255,,,6133.55,0.65266,1.16,1.87741,,3.95541,
3.19411,TOI-6628 b,TOI-6628,18.18424,0.134,0.67,10.98480109,235.19302118,0.98,833.0,20.0861,5463.0,-0.08778,0.97,1.01,0.36,4.416,7.5
3.19969,Kepler-1489 c,Kepler-1489,0.680741,,,0.51,0.087,3.6,,,5565.53,0.19764,0.977,0.957,0.14,4.51,4.07
3.12384,NSVS 14256825 b,NSVS 14256825,3225.0,3.12,0.12,12.3,4497.2945,13.3,,,40000.0,1.97364,0.419,0.188,,5.49946,
3.305,Kepler-1714 b,Kepler-1714,10.27530003,0.10549,0.0,3.26437302,10.7,1.69,1211.0,504.3,6150.0,0.76008,1.448,2.086,0.22,3.96,2.29
3.999,Kepler-33 f,Kepler-33,41.02902,0.2535,0.0,4.46,9.6,0.9,691.0,53.183,5904.0,0.556,1.291,1.82,0.025,4.027,4.27
3.11597,HD 233604 b,HD 233604,192.0,0.747,0.05,12.7,2089.644,5.61,,,4791.0,1.75,1.5,10.9,-0.36,2.55,2.4
3.13644,TOI-715 b,TOI-715,19.288004,0.083,,1.55,3.02,4.46,234.0,0.67,3075.0,-2.30899,0.225,0.24,-0.25,5.0,6.2
3.12607,TOI-1266 b,TOI-1266,10.8945,0.073,0.039,2.52,4.46,1.54,415.0,4.72,3563.0,-1.58021,0.437,0.4232,-0.109,4.826,4.6
3.11827,HD 219134 h,HD 219134,2247.0,3.11,0.06,12.7,108.0622,0.29,,,4913.0,-0.50864,0.794,0.77,0.08,4.51,12.46
3.14645,TOI-1836 b,TOI-1836,20.380799,0.1597,0.0,8.00321222,38.45723725,0.41,966.0,153.5185,6380.0,0.5682,1.307,1.577,-0.101,4.159,6.6
